Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/properties/ereignisbeschreibung-id,Ereignisbeschreibung Id,,
Property,http://arkumu.org/properties/ereigniseigenschaft-id,Ereigniseigenschaft Id,,
Property,http://arkumu.org/properties/ereignisende,Ereignisende,"Jahr der Fertigstellung,Ausz_Ende,EventEnddatum_ISO",
Property,http://arkumu.org/properties/ereignisende-geschaetzt,Ereignisende Geschaetzt,,
Property,http://arkumu.org/properties/ereignisname,Ereignisname,"_Projekte_Export_EreignisHerstellung_DeutscherName,Ausz_Name,Eventname",
Property,http://arkumu.org/properties/ereignisort,Ereignisort,"_Projekte_Export_Entstehungs_und_Produktionsland_verkettet,Ort_Wikidata_QID",
Property,http://arkumu.org/properties/ereignistyp,Ereignistyp,"arkumu_Ereignistyp,_globale_Exportvariablen_arkumu_Ereignistyp_Auszeichnung,Ereignistyp",
Property,http://arkumu.org/properties/ereignistyp-id,Ereignistyp Id,,
Property,http://arkumu.org/properties/erhaltungstyp,Erhaltungstyp,"Erhaltungstyp_calc,_globale_Exportvariablen_arkumu_Erhaltungstyp",
Property,http://arkumu.org/properties/erhaltungszustand-deutsch,Erhaltungszustand Deutsch,,
Property,http://arkumu.org/properties/erhaltungszustand-englisch,Erhaltungszustand Englisch,,
Property,http://arkumu.org/properties/externe-inventar-signaturnummer,Externe Inventar Signaturnummer,Signatur,
Property,http://arkumu.org/properties/externe-projektwebseite,Externe Projektwebseite,"Projekt_Website1,Projekt_Website2",
Property,http://arkumu.org/properties/filmportal-kategorie-id,Filmportal Kategorie Id,,
Property,http://arkumu.org/properties/fruehestes-geburtsdatum,Fruehestes Geburtsdatum,,
Property,http://arkumu.org/properties/fruehestes-sterbedatum,Fruehestes Sterbedatum,,
Property,http://arkumu.org/properties/geburtsort,Geburtsort,,
Property,http://arkumu.org/properties/geschlecht,Geschlecht,,
Property,http://arkumu.org/properties/gnd-nummer,Gnd Nummer,"PE_Normdatum_GND,GND_ID",
Property,http://arkumu.org/properties/gnd-nummer-gruppe,Gnd Nummer Gruppe,,
Property,http://arkumu.org/properties/gnd-nummer-maennlich,Gnd Nummer Maennlich,,
Property,http://arkumu.org/properties/gnd-nummer-weiblich,Gnd Nummer Weiblich,,
Property,http://arkumu.org/properties/gruendungsort,Gruendungsort,,
Property,http://arkumu.org/properties/hersteller,Hersteller,Hersteller,
Property,http://arkumu.org/properties/im-ereignis,Im Ereignis,,
Property,http://arkumu.org/properties/informationstraeger,Informationstraeger,,
Property,http://arkumu.org/properties/informationstraeger-id,Informationstraeger Id,,
Property,http://arkumu.org/properties/informationstraeger-informationstraegereigenschaft-id,Informationstraeger Informationstraegereigenschaft Id,,
Property,http://arkumu.org/properties/informationstraeger-produkt-id-id,Informationstraeger Produkt Id Id,,
Property,http://arkumu.org/properties/informationstraegereigenschaft-id,Informationstraegereigenschaft Id,,
Property,http://arkumu.org/properties/informationstraegertyp,Informationstraegertyp,Medienformat,
Property,http://arkumu.org/properties/informationstraegertyp-id,Informationstraegertyp Id,,
Property,http://arkumu.org/properties/inhaltswarnung,Inhaltswarnung,,
Property,http://arkumu.org/properties/interner-kommentar,Interner Kommentar,Bemerkungen,
Property,http://arkumu.org/properties/iso-639-1-code,Iso 639 1 Code,,
Property,http://arkumu.org/properties/iso-639-2b-code,Iso 639 2B Code,,
Property,http://arkumu.org/properties/iso-639-2t-code,Iso 639 2T Code,,
Property,http://arkumu.org/properties/ist-urheberin,Ist Urheberin,ist_Urheberin,
