Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/data/properties/einlieferer,Einlieferer,,
Property,http://arkumu.org/data/properties/einliefernde-hochschule,Einliefernde Hochschule,_globale_Exportvariablen_arkumu_Einliefernde Hochschule,
Property,http://arkumu.org/data/properties/einliefernde-hochschule-id,Einliefernde Hochschule Id,,
Property,http://arkumu.org/data/properties/englische-beschreibung,Englische Beschreibung,"Kurzinformation_engl,Beschreibung_EN",
Property,http://arkumu.org/data/properties/englische-bezeichnung,Englische Bezeichnung,,
Property,http://arkumu.org/data/properties/englische-bezeichnung-des-lizenzvertrags,Englische Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/data/properties/englische-inhaltliche-beschreibung,Englische Inhaltliche Beschreibung,Description_EN_verkettet,wird bei RB nur für d.o. benutzt
Property,http://arkumu.org/data/properties/englische-kurzbiografie,Englische Kurzbiografie,,
Property,http://arkumu.org/data/properties/englische-produkt-bezeichnung,Englische Produkt Bezeichnung,Equipment_eng,
Property,http://arkumu.org/data/properties/englischer-anzeigetext,Englischer Anzeigetext,,
Property,http://arkumu.org/data/properties/englischer-kommentar,Englischer Kommentar,,
Property,http://arkumu.org/data/properties/englischer-name,Englischer Name,,
Property,http://arkumu.org/data/properties/englischer-name-der-einliefernden-hochschule,Englischer Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/data/properties/englischer-name-der-equipmentart,Englischer Name Der Equipmentart,Equipmentart_eng,
Property,http://arkumu.org/data/properties/englischer-name-der-ereigniseigenschaft,Englischer Name Der Ereigniseigenschaft,,
Property,http://arkumu.org/data/properties/englischer-name-der-informationstraegereigenschaft,Englischer Name Der Informationstraegereigenschaft,,
Property,http://arkumu.org/data/properties/englischer-name-der-lizenz,Englischer Name Der Lizenz,,
Property,http://arkumu.org/data/properties/englischer-name-der-nummernart,Englischer Name Der Nummernart,,
Property,http://arkumu.org/data/properties/englischer-name-der-organisationseinheit-breadcrumb,Englischer Name Der Organisationseinheit Breadcrumb,,
Property,http://arkumu.org/data/properties/englischer-name-der-projektart,Englischer Name Der Projektart,,
Property,http://arkumu.org/data/properties/englischer-name-der-projekteigenschaft,Englischer Name Der Projekteigenschaft,,
Property,http://arkumu.org/data/properties/englischer-name-der-projektkategorie-breadcrumb,Englischer Name Der Projektkategorie Breadcrumb,,
Property,http://arkumu.org/data/properties/englischer-name-der-rolle-breadcrumb,Englischer Name Der Rolle Breadcrumb,,
Property,http://arkumu.org/data/properties/englischer-name-der-sammlung,Englischer Name Der Sammlung,,
Property,http://arkumu.org/data/properties/englischer-name-der-sprache,Englischer Name Der Sprache,,
Property,http://arkumu.org/data/properties/englischer-name-des-ereignistyps,Englischer Name Des Ereignistyps,,
Property,http://arkumu.org/data/properties/englischer-name-des-informationstraegertyps-breadcrumb,Englischer Name Des Informationstraegertyps Breadcrumb,,
Property,http://arkumu.org/data/properties/entstehung,Entstehung,Entstehung,
Property,http://arkumu.org/data/properties/eq,Eq,,
Property,http://arkumu.org/data/properties/equipment-und-software,Equipment Und Software,"Equipmentart_ID,Equipment_ID_fk",
Property,http://arkumu.org/data/properties/equipment-und-software-id,Equipment Und Software Id,,
Property,http://arkumu.org/data/properties/equipmentart,Equipmentart,,
Property,http://arkumu.org/data/properties/equipmentart-id,Equipmentart Id,,
Property,http://arkumu.org/data/properties/ereignis,Ereignis,"Kr_Event_ID,Ausz_Proj_ID",
Property,http://arkumu.org/data/properties/ereignis-ereignis-id,Ereignis Ereignis Id,,
Property,http://arkumu.org/data/properties/ereignis-ereigniseigenschaft-id,Ereignis Ereigniseigenschaft Id,,
Property,http://arkumu.org/data/properties/ereignis-id,Ereignis Id,,
Property,http://arkumu.org/data/properties/ereignisbeginn,Ereignisbeginn,"Entstehungsjahr,Ausz_Anfang,Eventanfangsdatum_ISO",
Property,http://arkumu.org/data/properties/ereignisbeginn-geschaetzt,Ereignisbeginn Geschaetzt,,
Property,http://arkumu.org/data/properties/ereignisbeschreibung,Ereignisbeschreibung,"_EreignisHerstellungBeschreibung_verkettet,_Beschreibung_verkettet,website",
Property,http://arkumu.org/data/properties/ereignisbeschreibung-id,Ereignisbeschreibung Id,,
Property,http://arkumu.org/data/properties/ereigniseigenschaft-id,Ereigniseigenschaft Id,,
Property,http://arkumu.org/data/properties/ereignisende,Ereignisende,"Jahr der Fertigstellung,Ausz_Ende,EventEnddatum_ISO",
Property,http://arkumu.org/data/properties/ereignisende-geschaetzt,Ereignisende Geschaetzt,,
Property,http://arkumu.org/data/properties/ereignisname,Ereignisname,"_Projekte_Export_EreignisHerstellung_DeutscherName,Ausz_Name,Eventname",
Property,http://arkumu.org/data/properties/ereignisort,Ereignisort,"_Projekte_Export_Entstehungs_und_Produktionsland_verkettet,Ort_Wikidata_QID",
Property,http://arkumu.org/data/properties/ereignistyp,Ereignistyp,"arkumu_Ereignistyp,_globale_Exportvariablen_arkumu_Ereignistyp_Auszeichnung,Ereignistyp",
Property,http://arkumu.org/data/properties/ereignistyp-id,Ereignistyp Id,,
Property,http://arkumu.org/data/properties/erhaltungstyp,Erhaltungstyp,"Erhaltungstyp_calc,_globale_Exportvariablen_arkumu_Erhaltungstyp",
Property,http://arkumu.org/data/properties/erhaltungszustand-deutsch,Erhaltungszustand Deutsch,,
Property,http://arkumu.org/data/properties/erhaltungszustand-englisch,Erhaltungszustand Englisch,,
Property,http://arkumu.org/data/properties/externe-inventar-signaturnummer,Externe Inventar Signaturnummer,Signatur,
Property,http://arkumu.org/data/properties/externe-projektwebseite,Externe Projektwebseite,"Projekt_Website1,Projekt_Website2",
Property,http://arkumu.org/data/properties/filmportal-kategorie-id,Filmportal Kategorie Id,,
Property,http://arkumu.org/data/properties/fruehestes-geburtsdatum,Fruehestes Geburtsdatum,,
Property,http://arkumu.org/data/properties/fruehestes-sterbedatum,Fruehestes Sterbedatum,,
Property,http://arkumu.org/data/properties/geburtsort,Geburtsort,,
Property,http://arkumu.org/data/properties/geschlecht,Geschlecht,,
Property,http://arkumu.org/data/properties/gnd-nummer,Gnd Nummer,"PE_Normdatum_GND,GND_ID",
Property,http://arkumu.org/data/properties/gnd-nummer-gruppe,Gnd Nummer Gruppe,,
Property,http://arkumu.org/data/properties/gnd-nummer-maennlich,Gnd Nummer Maennlich,,
Property,http://arkumu.org/data/properties/gnd-nummer-weiblich,Gnd Nummer Weiblich,,
Property,http://arkumu.org/data/properties/gruendungsort,Gruendungsort,,
Property,http://arkumu.org/data/properties/hersteller,Hersteller,Hersteller,
Property,http://arkumu.org/data/properties/informationstraeger,Informationstraeger,PhysMedien_ID_fk,
Property,http://arkumu.org/data/properties/informationstraeger-id,Informationstraeger Id,,
Property,http://arkumu.org/data/properties/informationstraeger-informationstraegereigenschaft-id,Informationstraeger Informationstraegereigenschaft Id,,
