Type,Target,Label,Name,Anmerkung HMT
Property,http://arkumu.org/data/properties/sammlungsart,Sammlungsart,,
Property,http://arkumu.org/data/properties/schlagwort,Schlagwort,,
Property,http://arkumu.org/data/properties/schlagwort-id,Schlagwort Id,,
Property,http://arkumu.org/data/properties/signatur-beim-einlieferer,Signatur Beim Einlieferer,Informationsträger_Signatur beim Einlieferer,
Property,http://arkumu.org/data/properties/sonderregelung,Sonderregelung,,
Property,http://arkumu.org/data/properties/sortierung,Sortierung,,
Property,http://arkumu.org/data/properties/spaetestes-geburtsdatum,Spaetestes Geburtsdatum,,
Property,http://arkumu.org/data/properties/spaetestes-sterbedatum,Spaetestes Sterbedatum,,
Property,http://arkumu.org/data/properties/sprache-der-beschreibung,Sprache Der Beschreibung,,
Property,http://arkumu.org/data/properties/sprache-der-ereignisbeschreibung,Sprache Der Ereignisbeschreibung,,
Property,http://arkumu.org/data/properties/sprache-des-alternativen-titels,Sprache Des Alternativen Titels,Alternativer Titel Sprachauszeichnung,
Property,http://arkumu.org/data/properties/sprache-des-alternativen-untertitels,Sprache Des Alternativen Untertitels,,
Property,http://arkumu.org/data/properties/sprache-des-bevorzugten-titels,Sprache Des Bevorzugten Titels,Bevorzugter Titel Sprachauszeichnung,
Property,http://arkumu.org/data/properties/sprache-des-bevorzugten-untertitels,Sprache Des Bevorzugten Untertitels,Bevorzugter Untertitel Sprachauszeichnung,
Property,http://arkumu.org/data/properties/sprache-id,Sprache Id,,
Property,http://arkumu.org/data/properties/sprachfassung,Sprachfassung,,
Property,http://arkumu.org/data/properties/sterbeort,Sterbeort,,
Property,http://arkumu.org/data/properties/synonyme,Synonyme,,
Property,http://arkumu.org/data/properties/systemvoraussetzungen,Systemvoraussetzungen,,
Property,http://arkumu.org/data/properties/technikschlagwort,Technikschlagwort,,
Property,http://arkumu.org/data/properties/technikschlagwort-id,Technikschlagwort Id,,
Property,http://arkumu.org/data/properties/technischer-kommentar-deutsch,Technischer Kommentar Deutsch,,
Property,http://arkumu.org/data/properties/technischer-kommentar-englisch,Technischer Kommentar Englisch,,
Property,http://arkumu.org/data/properties/teil-einer-serie,Teil Einer Serie,,
Property,http://arkumu.org/data/properties/tonformat,Tonformat,Informationsträger_Informationsträgereigenschaft_Tonformat,
Property,http://arkumu.org/data/properties/tonmischfassung,Tonmischfassung,,
Property,http://arkumu.org/data/properties/ungesicherte-zuschreibung,Ungesicherte Zuschreibung,,
Property,http://arkumu.org/data/properties/untertitelsprache,Untertitelsprache,,
Property,http://arkumu.org/data/properties/uri,Uri,,
Property,http://arkumu.org/data/properties/verantwortliche-hochschule,Verantwortliche Hochschule,,
Property,http://arkumu.org/data/properties/verknuepfter-akteurin,Verknuepfter Akteurin,,
Property,http://arkumu.org/data/properties/verknuepfter-informationstraeger,Verknuepfter Informationstraeger,,
Property,http://arkumu.org/data/properties/verknuepftes-digitales-objekt,Verknuepftes Digitales Objekt,,
Property,http://arkumu.org/data/properties/verknuepftes-equipment-und-software,Verknuepftes Equipment Und Software,,
Property,http://arkumu.org/data/properties/verknuepftes-ereignis,Verknuepftes Ereignis,,
Property,http://arkumu.org/data/properties/verknuepftes-physisches-objekt,Verknuepftes Physisches Objekt,,
Property,http://arkumu.org/data/properties/verknuepftes-projekt,Verknuepftes Projekt,,
Property,http://arkumu.org/data/properties/viaf-id,Viaf Id,VIAF,
Property,http://arkumu.org/data/properties/vorangestellter-titel,Vorangestellter Titel,,
Property,http://arkumu.org/data/properties/vorschaubild,Vorschaubild,,
Property,http://arkumu.org/data/properties/waehlt-automatisch-folgenden-anzeigestatus-aus,Waehlt Automatisch Folgenden Anzeigestatus Aus,,
Property,http://arkumu.org/data/properties/waehlt-automatisch-folgenden-lizenzstatus-aus,Waehlt Automatisch Folgenden Lizenzstatus Aus,,
Property,http://arkumu.org/data/properties/waehlt-besitzt-leistungsschutzrechte-automatisch-aus,Waehlt Besitzt Leistungsschutzrechte Automatisch Aus,,
